transaction_id,user_id,accountId,date,description,amount_inr,category
6819b2669e9e6f7676af56d7,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-18 20:18:10.352,UberEats,2167,Food and Dining
6819b2669e9e6f7676af56d8,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-08 15:13:43.396,Barbeque Nation,143,Food and Dining
6819b2669e9e6f7676af56d9,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-19 13:08:41.380,Zomato Order,1837,Food and Dining
6819b2669e9e6f7676af56da,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-13 08:28:55.801,KFC Bill,304,Food and Dining
6819b2669e9e6f7676af56db,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-11 06:04:46.702,KFC Bill,1151,Food and Dining
6819b2669e9e6f7676af56dc,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-07 18:58:06.585,UberEats,5113,Food and Dining
6819b2669e9e6f7676af56dd,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-03 23:51:07.648,Dominos Pizza,2304,Food and Dining
6819b2669e9e6f7676af56de,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-06 06:37:21.285,Cafe Coffee Day,2481,Food and Dining
6819b2669e9e6f7676af56df,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-22 11:36:56.326,Swiggy Payment,3249,Food and Dining
6819b2669e9e6f7676af56e0,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-06 07:11:18.431,Barbeque Nation,1416,Food and Dining
6819b2669e9e6f7676af56e1,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-12 05:01:53.513,UberEats,5326,Food and Dining
6819b2669e9e6f7676af56e2,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-06 08:07:09.015,Swiggy Payment,2374,Food and Dining
6819b2669e9e6f7676af56e3,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-12 19:28:45.784,Cafe Coffee Day,1072,Food and Dining
6819b2669e9e6f7676af56e4,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-28 12:20:09.683,KFC Bill,8538,Food and Dining
6819b2669e9e6f7676af56e5,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-10 16:38:27.416,Zomato Order,5934,Food and Dining
6819b2669e9e6f7676af56e6,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-12 00:00:09.239,Indian Oil Petrol,2608,Transportation
6819b2669e9e6f7676af56e7,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-01 17:20:13.688,Metro Card Recharge,4510,Transportation
6819b2669e9e6f7676af56e8,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-01 06:18:58.291,Rapido Payment,1014,Transportation
6819b2669e9e6f7676af56e9,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-19 04:44:34.244,Local Bus Pass,4691,Transportation
6819b2669e9e6f7676af56ea,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-13 09:26:50.563,Uber Ride,3993,Transportation
6819b2669e9e6f7676af56eb,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-06 01:53:15.071,Bharat Petroleum,1757,Transportation
6819b2669e9e6f7676af56ec,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-17 23:32:45.000,Ola Cabs,3781,Transportation
6819b2669e9e6f7676af56ed,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-03 13:46:24.861,Bharat Petroleum,2625,Transportation
6819b2669e9e6f7676af56ee,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-28 08:51:19.307,Bharat Petroleum,3158,Transportation
6819b2669e9e6f7676af56ef,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-15 04:19:05.756,Uber Ride,2732,Transportation
6819b2669e9e6f7676af56f0,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-04 06:58:41.483,Ajio,2965,Shopping
6819b2669e9e6f7676af56f1,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-11 02:33:30.651,Ajio,2124,Shopping
6819b2669e9e6f7676af56f2,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-03 16:20:56.877,Myntra Clothing,2806,Shopping
6819b2669e9e6f7676af56f3,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-10 13:07:03.154,Nykaa Cosmetics,2472,Shopping
6819b2669e9e6f7676af56f4,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-03 10:12:53.408,Shopper's Stop,3576,Shopping
6819b2669e9e6f7676af56f5,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-16 21:50:13.360,D-Mart Shopping,3509,Shopping
6819b2669e9e6f7676af56f6,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-16 12:07:02.907,Shopper's Stop,1045,Shopping
6819b2669e9e6f7676af56f7,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-18 02:20:00.134,Flipkart Order,3165,Shopping
6819b2669e9e6f7676af56f8,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-31 17:50:41.547,Nykaa Cosmetics,1751,Shopping
6819b2669e9e6f7676af56f9,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-14 16:51:25.774,Shopper's Stop,5015,Shopping
6819b2669e9e6f7676af56fa,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-22 09:19:08.418,Gas Bill Mahanagar Gas,1058,Bills and Utilities
6819b2669e9e6f7676af56fb,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-24 21:03:43.863,Tata Power Bill,2348,Bills and Utilities
6819b2669e9e6f7676af56fc,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-01 06:27:14.587,Gas Bill Mahanagar Gas,960,Bills and Utilities
6819b2669e9e6f7676af56fd,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-30 16:52:34.735,Gas Bill Mahanagar Gas,3278,Bills and Utilities
6819b2669e9e6f7676af56fe,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-17 20:23:51.194,Electricity Bill TNEB,376,Bills and Utilities
6819b2669e9e6f7676af56ff,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-20 01:16:34.226,Indane Gas,3208,Bills and Utilities
6819b2669e9e6f7676af5700,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-29 06:21:59.037,JioFiber Payment,2711,Bills and Utilities
6819b2669e9e6f7676af5701,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-28 21:46:44.129,Electricity Bill TNEB,1713,Bills and Utilities
6819b2669e9e6f7676af5702,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-20 20:25:44.084,Gas Bill Mahanagar Gas,559,Bills and Utilities
6819b2669e9e6f7676af5703,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-22 17:12:28.734,Indane Gas,1357,Bills and Utilities
6819b2669e9e6f7676af5704,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-13 09:32:26.067,Water Bill BWSSB,3342,Bills and Utilities
6819b2669e9e6f7676af5705,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-12 17:11:34.010,MTNL Landline,944,Bills and Utilities
6819b2669e9e6f7676af5706,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-24 06:41:38.756,Tata Power Bill,2194,Bills and Utilities
6819b2669e9e6f7676af5707,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-09 01:31:18.054,JioFiber Payment,5048,Bills and Utilities
6819b2669e9e6f7676af5708,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-01 23:53:31.514,Indane Gas,6251,Bills and Utilities
6819b2669e9e6f7676af5709,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-22 08:11:26.726,Sports Match Entry,1593,Entertainment
6819b2669e9e6f7676af570a,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-03-18 00:06:21.028,Eventbrite Tickets,2318,Entertainment
6819b2669e9e6f7676af570b,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-18 11:12:53.164,Theatre Performance Fee,423,Entertainment
6819b2669e9e6f7676af570c,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-01-25 20:29:20.040,Theatre Performance Fee,2245,Entertainment
6819b2669e9e6f7676af570d,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-02-18 02:45:45.986,Las Vegas Casino Entry,2347,Entertainment
6819b2669e9e6f7676af570e,6819921664cc431469081bd6,68199cea8433e7fef4277a37,2025-04-30 02:56:43.100,PVR Cinemas Tickets,2261,Entertainment
